MODELO	CDO	COLOR	PRECIO DE LISTA	PRECIO EN PROMOCIÓN
AVEO SEDAN LS NB 1.4 MT ABS	371120	BURDEO MET.	 $ 7.400.000 	 $ 5.990.000 
AVEO SEDAN LS NB 1.4 MT ABS	374759	PLATA METALICO	 $ 7.400.000 	 $ 5.990.000 
AVEO SEDAN NB 1.4 MT BASE	371135	BURDEO MET.	 $ 7.058.000 	 $ 5.790.000 
AVEO SEDAN NB 1.4 MT BASE	371136	AZUL CLARO MET.	 $ 7.058.000 	 $ 5.790.000 
AVEO SEDAN NB 1.4 MT BASE	374755	GRIS METALICO	 $ 7.058.000 	 $ 5.790.000 
CAMARO III NB 2P 6.2L SS AT	363028	ROJO BRILLANTE	 $ 31.045.000 	 $ 27.590.000 
CAMARO III NB 2P 6.2L SS AT	363029	PLATA METALICO	 $ 31.045.000 	 $ 27.590.000 
CAMARO III NB 2P 6.2L SS MT	346073	NEGRO	 $ 29.975.000 	 $ 25.990.000 
CAMARO III NB 2P 6.2L SS MT	363412	BLANCO	 $ 29.975.000 	 $ 25.990.000 
CAPTIVA 5 LS 2.2D FWD 6MT	368445	GRIS GRANITO METALICO	 $ 16.217.000 	 $ 13.190.000 
CAPTIVA 5 LT 2.2D AWD 6MT	374768	NEGRO	 $ 17.554.000 	 $ 14.190.000 
CAPTIVA 5 LT FULL 2.2D AWD 6AT	360497	CAFE ARENA METALICO	 $ 19.704.000 	 $ 16.290.000 
CAPTIVA 5 LT FULL 2.2D AWD 6AT	371144	CAFE ARENA METALICO	 $ 19.704.000 	 $ 16.290.000 
CRUZE E5 NB 1.8 MT LS	370079	BURDEO MET.	 $ 9.884.220 	 $ 8.590.000 
CRUZE E5 NB 1.8 MT LS	371150	AZUL METALICO MISTICO	 $ 9.884.220 	 $ 8.590.000 
CRUZE II NB 1.8 AT LS	381369	GRIS METALICO	 $ 10.195.000 	 $ 7.790.000 
CRUZE II NB 2.0D AT LS FULL	337911	GRIS METALICO	 $ 13.856.320 	 $ 12.290.000 
CRUZE II NB 2.0D AT LS FULL	348083	GRIS METALICO	 $ 13.856.320 	 $ 12.290.000 
CRUZE II NB 2.0D AT LS FULL	374774	PLATA METALICO	 $ 13.856.320 	 $ 12.290.000 
CRUZE II NB 2.0D MT LS	340317	PLATA METALICO	 $ 12.785.720 	 $ 10.590.000 
CRUZE II NB 2.0D MT LS	342189	GRIS METALICO	 $ 12.785.720 	 $ 10.590.000 
CRUZE II NB 2.0D MT LS	342190	GRIS ACERO MET.	 $ 12.785.720 	 $ 10.590.000 
CRUZE II NB 2.0D MT LS	348082	PLATA METALICO	 $ 12.785.720 	 $ 10.590.000 
ORLANDO LS 2.0LD 6AT	371185	AZUL METALICO MISTICO	 $ 15.052.000 	 $ 13.290.000 
ORLANDO LS 2.0LD 6AT	371187	BURDEO MET.	 $ 15.052.000 	 $ 13.290.000 
ORLANDO LS 2.0LD 6AT	374794	GRIS ACERO MET.	 $ 15.052.000 	 $ 13.290.000 
ORLANDO LS 2.0LD 6AT	374800	AZUL METALICO MISTICO	 $ 15.052.000 	 $ 13.290.000 
ORLANDO LS 2.0LD 6MT	362836	BURDEO MET.	 $ 14.023.000 	 $ 12.590.000 
ORLANDO LS 2.0LD 6MT	366564	BURDEO MET.	 $ 14.023.000 	 $ 12.590.000 
ORLANDO LS 2.0LD 6MT	368483	BURDEO MET.	 $ 14.023.000 	 $ 12.590.000 
ORLANDO LS 2.0LD 6MT	367026	BURDEO MET.	 $ 14.023.000 	 $ 13.690.000 
ORLANDO LS 2.0LD 6MT	374777	NEGRO	 $ 14.023.000 	 $ 12.490.000 
ORLANDO LS 2.0LD 6MT	374779	BLANCO	 $ 14.023.000 	 $ 12.490.000 
ORLANDO LT E5 2.4 6AT	365378	AZUL METALICO MISTICO	 $ 12.630.000 	 $ 10.990.000 
ORLANDO LT E5 2.4 6AT	368490	AZUL METALICO MISTICO	 $ 12.630.000 	 $ 10.990.000 
ORLANDO LT E5 2.4 6AT	369614	AZUL METALICO MISTICO	 $ 12.630.000 	 $ 10.990.000 
ORLANDO LT E5 2.4 6AT	370242	BURDEO MET.	 $ 12.630.000 	 $ 10.990.000 
SAIL II NB 1.4 LS	371342	PLATA	 $ 6.102.000 	 $ 5.250.000 
SAIL II NB 1.4 LS	371321	BLANCO	 $ 6.102.000 	 $ 5.250.000 
SAIL II NB 1.4 LS	371326	BLANCO	 $ 6.102.000 	 $ 5.250.000 
SAIL II NB 1.4 LS	371327	ROJO	 $ 6.102.000 	 $ 5.250.000 
SAIL II NB 1.4 LS	371333	BLANCO	 $ 6.102.000 	 $ 5.250.000 
SAIL II NB 1.4 LS	374833	BLANCO	 $ 6.102.000 	 $ 5.250.000 
SAIL II NB 1.4 LS	374834	PLATA	 $ 6.102.000 	 $ 5.250.000 
SAIL II NB 1.4 LS	374836	BLANCO	 $ 6.102.000 	 $ 5.250.000 
SAIL II NB 1.4 LS	374840	ROJO	 $ 6.102.000 	 $ 5.250.000 
SAIL II NB 1.4 LT	362078	ROJO	 $ 6.808.000 	 $ 5.390.000 
SAIL II NB 1.4 LT	371352	AZUL METALICO	 $ 6.808.000 	 $ 5.590.000 
SAIL II NB 1.4 LT	371354	AZUL METALICO	 $ 6.808.000 	 $ 5.590.000 
SAIL II NB 1.4 LT	371356	AZUL METALICO	 $ 6.808.000 	 $ 5.590.000 
SAIL II NB 1.4 LT	371357	AZUL METALICO	 $ 6.808.000 	 $ 5.590.000 
SAIL II NB 1.4 LT	371383	GRIS PIEDRA	 $ 6.808.000 	 $ 5.590.000 
SAIL II NB 1.4 LT	371399	NARANJO METALICO	 $ 6.808.000 	 $ 5.590.000 
SAIL II NB 1.4 LT	371402	ROJO	 $ 6.808.000 	 $ 5.590.000 
SAIL II NB 1.4 LT	371413	ROJO	 $ 6.808.000 	 $ 5.590.000 
SAIL II NB 1.4 LT	374843	AZUL METALICO	 $ 6.808.000 	 $ 5.590.000 
SAIL II NB 1.4 LT	374845	AZUL METALICO	 $ 6.808.000 	 $ 5.590.000 
SILVERADO LTZ III CC 5.3 4WD AT	359650	BLANCO INVIERNO	 $ 26.490.000 	 $ 23.590.000 
SONIC E5 HB 5P 1.6 MT	371201	PLATA METALICO	 $ 8.238.000 	 $ 6.890.000 
SONIC E5 HB 5P 1.6 MT	371202	BURDEO MET.	 $ 8.238.000 	 $ 6.890.000 
SONIC E5 HB 5P 1.6 MT	371204	GRIS METALICO	 $ 8.238.000 	 $ 6.890.000 
SONIC E5 HB 5P 1.6 MT	371205	CAFE ARENA METALICO	 $ 8.238.000 	 $ 6.890.000 
SONIC E5 LT NB  1.6 MT	371217	PLATA METALICO	 $ 9.259.000 	 $ 7.790.000 
SONIC E5 LT NB  1.6 MT	371219	CAFE ESPRESSO	 $ 9.259.000 	 $ 7.790.000 
SONIC II HB 5P 1.6 MT	372655	NEGRO	 $ 7.768.000 	 $ 6.890.000 
SONIC II HB 5P 1.6 MT	374314	NEGRO	 $ 7.768.000 	 $ 6.890.000 
SONIC II LT HB 5P 1.6 MT	378681	BURDEO MET.	 $ 8.728.000 	 $ 7.450.000 
SONIC II LT NB  1.6 AT	375157	AZUL CLARO MET.	 $ 9.547.000 	 $ 8.250.000 
SONIC II LT NB  1.6 MT	366610	CAFE ESPRESSO	 $ 8.729.000 	 $ 7.890.000 
SONIC II NB 1.6 MT	378680	BLANCO PERLA	 $ 7.667.000 	 $ 6.420.000 
SPARK GT II 1.2 MT LT AC BT	368760	AMARILLO MIEL	 $ 6.556.000 	 $ 5.790.000 
SPARK GT II 1.2 MT LT AC BT	371561	PLATA METALICO	 $ 6.556.000 	 $ 5.790.000 
SPARK GT II 1.2 MT LT AC BT	364552	AZUL RAYO	 $ 6.556.000 	 $ 5.790.000 
SPARK LITE E5 0.8 MT	364524	PLATA METALICO	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	365385	PLATA METALICO	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	371440	ROJO SOLAR	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	371449	PLATA METALICO	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	371452	BLANCO	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	371455	PLATA METALICO	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	371434	BLANCO	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	371437	BLANCO	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	371438	BLANCO	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	374346	PLATA METALICO	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	374349	CELESTE MET	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	374350	BLANCO	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	374353	BLANCO	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 0.8 MT	374355	VERDE LIMA	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE E5 1.0 MT	366640	VERDE LIMA	 $ 5.038.000 	 $ 3.850.000 
SPARK LITE E5 1.0 MT	371465	AMARILLO MIEL	 $ 5.038.000 	 $ 3.850.000 
SPARK LITE E5 1.0 MT	374358	VERDE LIMA	 $ 5.038.000 	 $ 3.850.000 
SPARK LITE E5 1.0 MT	374362	BLANCO	 $ 5.038.000 	 $ 3.850.000 
SPARK LITE E5 1.0 MT	374365	CELESTE MET	 $ 5.038.000 	 $ 3.850.000 
SPARK LITE E5 1.0 MT	374852	PLATA METALICO	 $ 5.038.000 	 $ 3.850.000 
SPARK LITE E5 1.0 MT	374855	PLATA METALICO	 $ 5.038.000 	 $ 3.850.000 
SPARK LITE E5 1.0 MT	374858	CELESTE MET	 $ 5.038.000 	 $ 3.850.000 
SPARK LITE E5 1.0 MT AC	373903	VERDE LIMA	 $ 5.320.000 	 $ 4.050.000 
SPARK LITE HB 0.8 M	363300	CELESTE MET	 $ 4.645.000 	 $ 3.600.000 
SPARK LITE HB 1.0 AC M 	348073	NEGRO	 $ 4.990.000 	 $ 3.690.000 
TRACKER 1.8 FWD E5 LS MT	366658	PLATA METALICO	 $ 10.804.580 	 $ 9.490.000 
TRACKER 1.8 FWD E5 LS MT	371252	NEGRO	 $ 10.804.580 	 $ 9.490.000 
TRACKER 1.8 FWD E5 LS MT	371254	GRIS METALICO	 $ 10.804.580 	 $ 9.490.000 
TRACKER 1.8 FWD E5 LS MT	371255	PLATA METALICO	 $ 10.804.580 	 $ 9.490.000 
TRACKER 1.8 FWD E5 LS MT	371256	BLANCO PERLA	 $ 10.804.580 	 $ 9.490.000 
TRACKER 1.8 FWD E5 LS MT	374325	PLATA METALICO	 $ 10.804.580 	 $ 9.490.000 
TRAVERSE III 1LT SU 5P 3.6L FWD	349738	GRIS GRAFITO METALICO	 $ 21.089.000 	 $ 16.990.000 
TRAVERSE III LT SU 5P 3.6L AWD  	363414	GRIS GRAFITO METALICO	 $ 27.087.000 	 $ 24.590.000 
TRAVERSE IV LTZ SU 5P 3.6L AWD	363415	GRIS GRAFITO METALICO	 $ 29.328.000 	 $ 26.590.000 
