MARCA	MODELO	AÑO	COLOR	SUCURSAL	PRECIO DE LISTA	PRECIO EN PROMOCIÓN
RENAULT	KANGOO 1,9	2006	GRIS	Irarrázaval 590	$ 4.890.000	$ 4.390.000
HYUNDAI	VERACRUZ GLS 4x4 3.8 AUT	2007	PLATA	Irarrázaval 590	$ 12.490.000	$ 11.290.000
CHEVROLET	S 10 APACHE II DAB 2.4	2009	GRIS	Irarrázaval 590	$ 8.290.000	$ 7.490.000
CHRYSLER	PACIFICA 3.5 AT	2006	PLATA	Irarrázaval 590	$ 5.690.000	$ 5.190.000
VOLKSWAWEN	SURAN HIGHLINE 1.6	2007	BLANCO	Irarrázaval 590	$ 6.390.000	$ 5.790.000
CHEVROLET	CORSA EXTRA NB 1.6 PWR         	2001	AZUL POSEIDON	Irarrázaval 590	$ 2.690.000	$ 2.490.000
JEEP	CHEROKEE LIMITED 3.7 AUT	2010	AZUL	Irarrázaval 590	$ 15.890.000	$ 14.290.000
TOYOTA	AVENSIS LEI 2.0 AT	2009	GRIS	Irarrázaval 590	$ 7.190.000	$ 6.490.000
MITSUBISHI	FURGON L-300 2.0.	2006	GRIS GRAFITO	Irarrázaval 590	$ 12.690.000	$ 11.490.000
MITSUBISHI	MONTERO 302 AUT	2001	BLANCO	Irarrázaval 590	$ 5.390.000	$ 4.890.000
CHEVROLET	N300 MAX VAN 1.2 MT	2012	BLANCO	Irarrázaval 590	$ 3.390.000	$ 3.090.000
FORD	FOCUS LX 1.6	2011	BEIGE	Irarrázaval 590	$ 5.690.000	$ 5.190.000
CHEVROLET	CORSA SWING 1,6 	2007	BLANCO MAHLER	Irarrázaval 590	$ 3.190.000	$ 2.890.000
CHEVROLET	TRAILBLAZER II LT SU 4.2L 4WD 	2005	AZUL OSCURO METALICO	Irarrázaval 590	$ 5.890.000	$ 5.290.000
CHEVROLET	SUBURBAN LT II 5.3L 4WD 6AT	2009	BEIGE METALICO	Irarrázaval 590	$ 18.590.000	$ 16.731.000
SUZUKI	G NOMADE S 4X4 2.0 AT	2010	GRIS PLATA	Irarrázaval 590	$ 8.190.000	$ 7.390.000
PEUGEOT	307 XR 1.6	2009	GRIS	Irarrázaval 590	$ 5.190.000	$ 4.690.000
CHEVROLET	AVEO III LS HB 3P 1.4 AB AC	2013	BLANCO	Irarrázaval 590	$ 4.990.000	$ 4.490.000
SUZUKI	GRAN NOMADE	2008	BEIGE	Irarrázaval 590	$ 6.690.000	$ 6.190.000
CHEVROLET	SPARK GT HB 1.2 MT LT  	2013	ROJO	Irarrázaval 590	$ 3.890.000	$ 3.490.000
CHEVROLET	NPR	2003	BLANCO	Irarrázaval 590	$ 8.190.000	$ 7.390.000
